Resume Filename,Score,Matched Skills,Missing Skills,Approval
backend_developer.docx,76.56,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
frontend_developer.docx,47.17,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
devops_engineer.docx,38.79,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
cloud_engineer.docx,37.68,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
data_analyst.docx,33.28,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
android_developer.docx,32.13,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
ml_engineer.docx,31.07,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
cybersecurity_analyst.docx,28.2,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
product_manager.docx,27.7,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
uttam_resume.pdf,24.65,dsa,"we, experience, docker
- problem solving, a backend developer",❌ Rejected
business_analyst.docx,22.36,experience,"dsa, we, docker
- problem solving, a backend developer",❌ Rejected
